id	text	metadata	region_main_id	region_main	region_sub_id	region_sub	date_str	date_min	date_max	date_circa
315181	[φ]ιλεταιρος ευμενου περγαμευς μουσαις. καφισιας εποιησε.	Boiotia — Thespiai — mid-3rd c. BC — BCH 26 (1902) 155,5 — OGIS 750; SEG 15.320	1698	Central Greece (IG VII-IX)	1691	Megaris, Oropia, and Boiotia (IG VII) 	 mid-3rd c. BC 	-275.0	-226.0	0.0
201686	μαλκοιδων ηρωνος.	Crete, W. — Tarrha — 1st-3rd c. AD — IC II xxix 7 — F. Matz, Forschungen auf Kreta 1942 (1951) 131 with n. 3	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	474	Crete 	 1st-3rd c. AD 	1.0	300.0	0.0
153178	βασιλικος.	Makedonia (Bottiaia) — Pella — 3rd/2nd c. BC — Hoi oikies harpagēs tēs Helenēs (1989) 188	1692	Northern Greece (IG X)	1485	Macedonia 	 3rd/2nd c. BC 	-300.0	-101.0	0.0
28582	αισκλαπιει μ [ανεθεκε --].	Epidauria — Epidauros — sinistr. — 6th/5th c. BC	1690	Peloponnesos (IG IV-[VI])	1643	Epidauria (IG IV²,1) 	 6th/5th c. BC	-600.0	-401.0	0.0
333620	[---]ος αν[εθηκε δαματρι].	Italia — Herakleia (Policoro) — late 4th/early 3rd c. BC — Forschungen und Funde. Festschrift B. Neutsch (1980) 405, 8	1696	Sicily, Italy, and the West (IG XIV)	1689	Italy, incl. Magna Graecia	 late 4th/early 3rd c. BC 	-350.0	-251.0	0.0
186989	[---------------- θυετω ο] [ι]ε[ρε]υς του απολλωνος εν τωι μ[ηνι τωι πανα]μω[ι ται] εβδομαι αιγα ται αφροδιτ[αι απο δρα]χμαν εικοσι και ται εναται του α[υτου μηνος] αιγα απο του ισου και σαλαιδιατ[----] διαγραφοντω δε τοι ναποιαι τω[ι αει πρι]αμενωι ταν ιερωσυναν εν τωι μην[ι τωι δαλι]ωι και αλλας δραχμας εικοσι ωστε θυε[ν ται α]φροδιται αιγα θυετω δε και ο ιερευς το[υ απολ]λωνος ται εικαδι αιγα απο δραχμαν ει[κοσι] θυοντω δε και τοι μεμισθωμενοι τος ιερο[ς κα]πος και το βαλανειον εκαστος αυτων εριφ[ον] [α]πο δραχμαν δεκαπεντε [-]ιγ[-----] [τ]ας εν ακροπολει α[-]οι[-]γ[------] [-] ιετω ομοιως λιδ---[--------] ο-λιωνγερ [-------------].	Kos Isl. — Halasarna (Kardamaina) — 3rd c. BC — SGDI III,1 3707 — LSCG 172 — cf. Ancient Cos (1978) 61, n. 168	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	1646	Cos and Calymna (IG XII,4)	 3rd c. BC 	-300.0	-201.0	0.0
186751	ορος θηκαιων αθαναισταν των συν δρακο[ντι].	Kos Isl. — Kos — Platani — 1st c. BC-2nd c. AD — SGDI III,1 3679	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	1646	Cos and Calymna (IG XII,4)	 1st c. BC-2nd c. AD 	1.0	100.0	0.0
331037	πουλυμαχος διου.	Gallia Narbonensis — Olbia (L'Almanarre): L'Acapte — excerpt (name only) — 2nd/1st c. BC — PdP 37 (1982) 367	1696	Sicily, Italy, and the West (IG XIV)	1635	Gallia	 2nd/1st c. BC 	-200.0	-1.0	0.0
200598	[--]ααδ[--] [--]σον[--] [--]ατε [--] [--]οεν-[--] [--- ---].	Crete, Ctr. — Gortyna — boustr. — mid-5th-beg. 4th c. BC	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	474	Crete 	 mid-5th-beg. 4th c. BC	-475.0	-376.0	0.0
277710	[---]πολλ[- --].	Bith. — Kios (Gemlik) — 2nd c. AD	1702	Asia Minor	1666	Bithynia	 2nd c. AD	101.0	200.0	0.0
312836	κρατιστου ηγ[εμο]νος μαρκου ουλπιου τερτυλλιανου.	Makedonia (Bottiaia) — Beroia — Leukopetra — 212/213 AD — I.Leukopetra 63, l. 4 — AnnÉp (2000) 1305 (M. Corbier)	1692	Northern Greece (IG X)	1485	Macedonia 	 212/213 AD 	212.0	213.0	0.0
235523	σω[τηρι και κτι]στη[ι αυτοκρατορι] [αδριανωι ολυμπιωι].	Att. — Athens — 129-138 AD	1701	Attica (IG I-III)	1700	Attica	 129-138 AD	129.0	138.0	0.0
152266	αγαθη τυχη. αττικιλλα σοφης εχαρισομην μητρι θεων αυτοχθονι πεδισκην ονοματι ευποριαν κε ταυτης θυγατεραν ηγησανδραν ανεπενκλητα. εδοθη η δωρεα αυτη επιμελουμε νου αυρηλια νου αμυντιανου.	Makedonia (Bottiaia) — Beroia — Leukopetra — 211/212 AD?	1692	Northern Greece (IG X)	1485	Macedonia 	 211/212 AD?	211.0	212.0	1.0
237334	χαριου μελας αση 0 ----.	Att. — Athens: Kerameikos — non-stoich. — ca. 260-240 BC	1701	Attica (IG I-III)	1700	Attica	 ca. 260-240 BC	-260.0	-240.0	1.0
295795	λεων κλεαγορα.	Doris — Kytenion (Paliochori) — 2nd c. BC? — BCH 47 (1923) 513 — BCH 114 (1990) 456, 7	1698	Central Greece (IG VII-IX)	1434	Doris	 2nd c. BC? 	-200.0	-101.0	1.0
325042	επι αριστειδα.	Kypros [Rhodos] — Nea Paphos (Kato Pafos) — House of Dionysos — ca. 168/166-ca. 161 BC (period IIIe)	1680	Cyprus ([IG XV])	1681	unspecified subregion	 ca. 168/166-ca. 161 BC (period IIIe)	-161.0	-161.0	1.0
170979	[---]αν ερωτος.	Thrace — Byzantion (Istanbul) — Haznedar Çiftliği — 2nd/1st c. BC — Fıratlı-Robert (1964) 143 — SEG 24.812	1697	Thrace and the Lower Danube (IG X)	1687	Thrace and Moesia Inferior 	 2nd/1st c. BC 	-200.0	-1.0	0.0
231745	[-------- μακαρτατε] και μελανωπε [-----------]ος [-----------]α τοτ αρη[--] [------------].	Att. — Athens: Agora — c. 410 a.	1701	Attica (IG I-III)	1700	Attica	 c. 410 a.	-410.0	-410.0	0.0
267503	αργεος και ηλιος οι λ[α]μεδοντος κυριλλη τη εαυτων μητρι και λολλια τη αδελφη μνημης χαριν.	Gal., N. — Pessinous: Sivrihisar — 107-114 AD — AEMÖ 7.1883.183,48	1702	Asia Minor	1663	Galatia	 107-114 AD 	107.0	114.0	0.0
228214	παχωμι[ος].	Nub. — Kertassi — 3rd c. AD — SB 1.5080	1695	Egypt, Nubia and Cyrenaïca	1694	Egypt and Nubia	 3rd c. AD 	201.0	300.0	0.0
329678	γορδιανω ιννοκεντιωρομ.	Italia — Roma — after 238 AD — NSc (1923) 67-69 — RQA 35 (1927) 247	1696	Sicily, Italy, and the West (IG XIV)	1689	Italy, incl. Magna Graecia	 after 238 AD 	238.0	238.0	0.0
239319	[ε]πι πυρρου αρχον[τος εν δελφοις αθηνησιν δε διονυσιου τ]ου μετα λυκισκον οι[δε] ενικησαν των ι[ππεων και των φυλαρχων των συμπαραπε]μψαντων την πυθαιδα θεντος τον α[γωνα του ιππαρχου διοκλεους του διοκλεους ταραντιναρχουντων διογενο[υ του αροπου λυσωνος του δημοκρατεος] φυλαρχουντων ερμωνος του διονυσιο[υ αγιου του βουλωνος χαρικλεους του θ]εοδωρου ξενοκλεους του δημητριο[υ]. τε------------------ [εκ των φυλαρ]χων [ιππωι πολεμι]στηι [διαυλον εν οπ]λοις [ερμων διονυσιο]υ αθηναιος [γονωι δε αντιφω]ντος. ιππωι πολεμιστηι διαυλον αγιας βουλωνος.	Phokis — Delphi — 128 BC — SIG(3) 697H	1698	Central Greece (IG VII-IX)	1272	Delphi 	 128 BC 	-128.0	-128.0	0.0
180320	επι ιερεως αριστανδρου αλαλκομενειου ωρωποδωρος θεοζοτου [ειπ]εν επειδη πλατυρ ευνους ων διατελει τει πολει ωρωπιων και των πολιτων τοις χρειαν εχουσιν εμ παντι καιρωι το συμφερον πραττει δεδοχθαι τει βουλει και τωι δημωι πλατυρα δαζου αλινιον προξενον ειναι της πολεως ωρωπιων αυτον και εκγονους και ειναι αυτοις γης και οικιας εγκτησιν και ισοτελειαν και ασυλιαν και ασφαλειαν και κατα γην και κατα θαλατταν και πολεμου και ειρηνης και ταλλα παντα καθαπερ τοις αλλοις προξενοις και ευεργεταις.	Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — ArchEph (1952) 178, 11 — SEG 15.273; cf. 32.479	1698	Central Greece (IG VII-IX)	1691	Megaris, Oropia, and Boiotia (IG VII) 	 ca. 240-180 BC 	-240.0	-180.0	1.0
226239	ελεινειων ως ετων τυβι. ευψυχι.	Eg. — Terenouthis (Kom Abu Bellou) — 3rd/4th c. AD — SEG 20.573	1695	Egypt, Nubia and Cyrenaïca	1694	Egypt and Nubia	 3rd/4th c. AD 	201.0	400.0	0.0
238007	---- [ι]ερου αγιωνος νικεα.	Phokis — Delphi — 4th c. BC — Bousquet	1698	Central Greece (IG VII-IX)	1272	Delphi 	 4th c. BC 	-400.0	-301.0	0.0
227127	τιβεριον κλαυδιον απιωνα τον παντα αριστον και φιλοστοργοτατον αδελφον κλαυδια φιλορωμαια.	Eg. — Alexandria — 1st/2nd c. AD — Breccia 154; IGRR 1.1082 — SB 5.8291	1695	Egypt, Nubia and Cyrenaïca	1694	Egypt and Nubia	 1st/2nd c. AD 	1.0	200.0	0.0
268630	μηνοφιλου υμνωδου.	Aeol. — Myrina (Birki & Öteki Tepe) — early 1st-ca. 65/70 AD — Kassab, Statuettes 51.10b — SEG 33.1045, cf. 38.1248	1702	Asia Minor	1012	Aeolis	 early 1st-ca. 65/70 AD 	65.0	70.0	0.0
278423	ετους αγαθοκλης διοδωρου θυεια γαμετη τονδε ανεθηκε ποσει.	Bith. — Nikaia (Iznik): Akçapinar/Gölpazari — 2nd c. AD?	1702	Asia Minor	1666	Bithynia	 2nd c. AD?	101.0	200.0	1.0
285586	[---] εκοσμησεν λυτρου των εαυτις αμαρτιων και ανεσεως των προτελευτησαντων φροντιζουσα οθεν θεου δοσιν εις ανταμισθειαν λημψεται.	Cil. — Tarsos (Tarsus) — 6th c. AD — SEG 37.1341	1702	Asia Minor	1662	Cilicia and Isauria	 6th c. AD 	501.0	600.0	0.0
287391	αυρηλια κυριλλα κυριω ασκληπι[ω] ευξαμενη εθηκα.	Capp. — Komana (Şar) — 5th c. AD — Bull.Soc.Ant.Fr. 1911.317,11	1702	Asia Minor	1607	Cappadocia	 5th c. AD 	401.0	500.0	0.0
199671	ημειρα δερδωπιδα.	Crete, Ctr. — Rhizenia? — 3rd c. BC	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	474	Crete 	 3rd c. BC	-300.0	-201.0	0.0
1053	[ονεσιμος. ανεθεκεν. απαρ]χεν. ο σ[μικυθ]ο ταθε[ναιαι].	Att. — Athens: Akropolis — c. 485-480? a. — IG I² 754; DAA 358	1701	Attica (IG I-III)	1700	Attica	 c. 485-480? a. 	-485.0	-480.0	1.0
348292	ετους μηνος δαισιου αιλιος θαλασσερως ετειμησεν την εαυτου γυναικα μαρκιαν καλλιω συμβιωσασαν αμενπτως.	Lydia, N.E. — Prov. unkn. [priv. coll.] — 197/198 AD — EA 30 (1998) 36, 23	1702	Asia Minor	1654	Lydia	 197/198 AD 	197.0	198.0	0.0
81076	τιμηριππη.	Euboia — Eretria — 4th c. BC	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	1653	Euboia (IG XII,9) 	 4th c. BC	-400.0	-301.0	0.0
185258	[οσον] επαρκ[ει].	N. Black Sea — Nymphaion (Geroevskoe-Elʹtigen) — late 5th c. BC	1683	North Shore of the Black Sea	1684	unspecified subregion	 late 5th c. BC	-450.0	-401.0	0.0
290835	καλονι[κη].	Att. — ca. 480 BC	1701	Attica (IG I-III)	1700	Attica	 ca. 480 BC	-480.0	-480.0	1.0
149120	διογενης [-------] την εαυτου γ[υναικα --] μενανδρου ιε[ρητευσασαν] αρτεμιδι ι[ωλκιαι]. νικανδρου ιε[ρητευσασαν].	Magnesia — Demetrias: Volos — late 2nd c. BC — cf. MDAI(A) 33 (1908) 291,1	1698	Central Greece (IG VII-IX)	899	Thessaly (IG IX,2) 	 late 2nd c. BC 	-150.0	-101.0	0.0
306843	[επι αγ]εμαχου [πα]ναμου δευτερου.	Mys. [Rhod.] — Pergamon — Hellenistic period — IvP II 795	1702	Asia Minor	1674	Mysia [Kaïkos], Pergamon	 Hellenistic period 	-323.0	-31.0	0.0
317796	υλαδης θιασιτας.	Kos Isl. — Kos — 1st c. AD	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	1646	Cos and Calymna (IG XII,4)	 1st c. AD	1.0	100.0	0.0
150471	διοτιμος ξενοφωντος.	Makedonia (Edonis) — Amphipolis — Hellenistic period [4th c., JHS] — Demitsas, Hē Makedonia 921 — JHS 16 (1896) 315, 6	1692	Northern Greece (IG X)	1485	Macedonia 	 Hellenistic period [4th c., JHS] 	-323.0	-31.0	0.0
80368	κοπρε[υ]ς τρυβον [-]ν.	Euboia — Styra — 5th c. BC	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	1653	Euboia (IG XII,9) 	 5th c. BC	-500.0	-401.0	0.0
183629	α[---]υς και [γυ]ν[η] φω[κ]αρια χαιρετε.	N. Black Sea — Parthenion — 1st c. AD	1683	North Shore of the Black Sea	1684	unspecified subregion	 1st c. AD	1.0	100.0	0.0
184146	[αφ]ροδιτηι συριηι μητρω.	N. Black Sea — Olbia — 5th c. BC — Tolstoi, Graffiti (1953) 25	1683	North Shore of the Black Sea	1684	unspecified subregion	 5th c. BC 	-500.0	-401.0	0.0
194355	[--]ολλωνιδ[---] [---]τιση[----].	Dalmatia — Issa (Vis) — ca. 250-150 BC — VAHD 78 (1985) 59, 4	1692	Northern Greece (IG X)	1463	Epeiros, Illyria, and Dalmatia 	 ca. 250-150 BC 	-250.0	-150.0	1.0
319963	μαναημος. σιμων.	Pal. — Jericho — 10-74 AD — BASOR 235 (1979) 34, 5a-b	1693	Greater Syria and the East	1657	Palaestina	 10-74 AD 	10.0	74.0	0.0
327655	επικτησι χρηστη χαιρ[ε].	Boiotia — Thespiai — ca. 330-320 BC — EEBM 2 (1995) 389-405	1698	Central Greece (IG VII-IX)	1691	Megaris, Oropia, and Boiotia (IG VII) 	 ca. 330-320 BC 	-330.0	-320.0	1.0
